	Category_1	Category_2	Category_3	Category_4
Karosserie_Montage-->Anbauteile-->Assistenzsysteme-->	15.0			
Karosserie_Montage-->Anbauteile-->Aufbau-->	3.0			
Karosserie_Montage-->Anbauteile-->Dach-->	2.0			
Karosserie_Montage-->Anbauteile-->Dämpfungswannen_Unterfahrschutz-->	36.0			
Karosserie_Montage-->Anbauteile-->Federbeinaufnahmen-->	3.0			
Karosserie_Montage-->Anbauteile-->Frontklappe-->	9.0			
Karosserie_Montage-->Anbauteile-->Heckklappe-->	16.0			
Karosserie_Montage-->Anbauteile-->Kotflügel-->	3.0			
Karosserie_Montage-->Anbauteile-->Radlaufschalen-->	226.0			
Karosserie_Montage-->Anbauteile-->Schiebedach_Großdach-->	27.0			
Karosserie_Montage-->Anbauteile-->Sonstige-->	34.0			
Karosserie_Montage-->Anbauteile-->Sonstige-->Abdeckung LTR vorn	1.0			
Karosserie_Montage-->Anbauteile-->Tunnelstrebe-->	177.0			
Karosserie_Montage-->Anbauteile-->Wasserkastenvorderwand-->	51.0			
Karosserie_Montage-->Anbauteile-->Wärmedämmung-->	2.0			
Karosserie_Montage-->Anbauteile-->Zierteile-->	233.0			
Karosserie_Montage-->Anbauteile-->Zierteile-->Dachzierleiste_glanz_schwarz	26.0			
Karosserie_Montage-->Anbauteile-->Zierteile-->Zierleiste_Scheibe_Säule_C	5.0			
Karosserie_Montage-->Anbauteile-->cW-Verkleidungen-->	191.0			
Karosserie_Montage-->Aufbau-->Heckklappe-->	2.0			
Karosserie_Montage-->Aufbau-->Heckleuchten_Bremsleuchte-->	5.0			
Karosserie_Montage-->Aufbau-->Niveausensoren-->	3.0			
Karosserie_Montage-->Dachsystem-->-->	72.0			
Karosserie_Montage-->Dachsystem-->Schiebedach_Großdach-->	49.0			
Karosserie_Montage-->Dachsystem-->Schiebedach_Großdach-->Dachzierleiste_glanz_schwarz	3.0			
Karosserie_Montage-->Dachsystem-->Sonstige-->	28.0			
Karosserie_Montage-->Dachsystem-->Verdeck-->	21.0			
Karosserie_Montage-->Frontend-->-->	306.0			
Karosserie_Montage-->Frontend-->Bef-Rahmen-->	6.0			
Karosserie_Montage-->Frontend-->Heckklappe-->	2.0			
Karosserie_Montage-->Frontend-->Scheinwerfer_Blinker-->	6.0			
Karosserie_Montage-->Frontend-->Stoßfänger-->	5.0			
Karosserie_Montage-->Frontend-->Stoßfänger-->Dachzierleiste_glanz_schwarz	2.0			
Karosserie_Montage-->Frontend-->cW-Verkleidungen-->	17.0			
Karosserie_Montage-->Frontend_Motorraum-->cW-Verkleidungen-->	4.0			
Karosserie_Montage-->Klappen-->-->	385.0			
Karosserie_Montage-->Klappen-->Aufbau-->	7.0			
Karosserie_Montage-->Klappen-->Frontklappe-->	899.0			
Karosserie_Montage-->Klappen-->Frontklappe-->Betätigungshebel	6.0			
Karosserie_Montage-->Klappen-->Frontklappe-->Dachzierleiste_glanz_schwarz	8.0			
Karosserie_Montage-->Klappen-->Frontklappe-->FK-Schloß	7.0			
Karosserie_Montage-->Klappen-->Frontklappe-->Fanghaken_Schließbügel	18.0			
Karosserie_Montage-->Klappen-->Frontklappe-->Türschlösser_Bowdenzüge	3.0			
Karosserie_Montage-->Klappen-->Heck-->	3.0			
Karosserie_Montage-->Klappen-->Heckklappe-->	655.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Dachzierleiste_glanz_schwarz	19.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Fanghaken_Schließbügel	4.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Hinten_Links	3.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Hinten_Rechts	9.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Spoiler	112.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Vorne_Links	4.0			
Karosserie_Montage-->Klappen-->Heckklappe-->Vorne_Rechts	2.0			
Karosserie_Montage-->Klappen-->Heckleuchten_Bremsleuchte-->	12.0			
